symbol,is_start,is_end,is_days,signals,win_rate_pct,pf,total_r,max_dd_r,top_rejection,top_rej_count,comment,old_signals,old_pf,old_total_r,old_max_dd_r
AMZN,2025-09-17,2026-04-30,156,14,42.9,1.54,3.79,2.0,adx,503,good -- keep,10,0.77,-1.6,3.0
CRM,2025-09-17,2026-04-30,156,12,66.7,4.0,10.8,1.0,adx,489,good -- keep,8,3.0,6.0,2.0
LLY,2025-09-17,2026-04-30,156,6,50.0,1.8,2.4,3.0,adx,488,marginal positive,7,1.35,1.4,3.0
META,2025-09-17,2026-04-30,156,11,72.7,4.49,10.46,1.0,adx,517,good -- keep,8,11.66,10.66,1.0
MSFT,2025-09-17,2026-04-30,156,17,35.3,0.98,-0.2,5.2,adx,545,breakeven,9,3.24,6.72,1.0
NFLX,2025-09-17,2026-04-30,156,8,62.5,2.44,4.33,2.0,adx,538,good -- keep,6,2.77,3.53,1.0
NVDA,2025-09-17,2026-04-30,156,14,50.0,1.8,5.6,3.0,adx,533,good -- keep,12,1.29,2.0,3.0
PANW,2025-09-17,2026-04-30,156,9,22.2,0.51,-3.4,3.4,adx,515,losing -- review,8,1.08,0.4,4.0
QQQ,2025-09-17,2026-04-30,156,9,44.4,1.44,2.2,5.0,adx,543,marginal positive,5,2.7,3.4,1.0
